0,source,label,type
"Germany&#39;s that world class team from 2010 - 2016 thrashed everyone that came their way. Argentina 4-0, Brazil 7-1 and England here 4-1. Just unbelievable 🤯😯",youtube,,international
The vuvuzelas made the whole world cup unwatchable with the sound on,youtube,,international
Probably the worst performance I&#39;ve watched england at a world cup,youtube,,international
That vuvuzelas create a horrible sound!,youtube,,international
"Such a great german team, pitty todays team is a shell of what it use to be",youtube,,international
10822,youtube,,international
That vuvuzela sound is nostalgic today,youtube,,international
E La Piu Bella Partitta in Mondiale Africa 2010.,youtube,,international
"<a href=""https://www.youtube.com/watch?v=eMdTsex8Cyw&amp;t=0m28s"">0:28</a>",youtube,,international
"<a href=""https://www.youtube.com/watch?v=eMdTsex8Cyw&amp;t=0m38s"">0:38</a> Eya Vo Tawae",youtube,,international
march robbed for Germany to england,youtube,,international
"<a href=""https://www.youtube.com/watch?v=eMdTsex8Cyw&amp;t=36m08s"">36:08</a> Neuer 😂",youtube,,international
🗽⛩️🎃<br><br>H.Daud Ibra Syam,youtube,,international
is this the compilation of tackles or what,youtube,,international
Chockers netherlands in football <br>Chockers new zealand in cricket,youtube,,international
"🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦🇪🇦 Can remember Iniesta goal  ,, I Celebrate like Crazy en mia Amigos room ,,  ran local with España ,,, coats of Arms en da Air !!!!!! VIVA ESPAÑA ⭐️",youtube,,international
"Jika penyerang selalu bermimpi mencetak gol terbaik, namun saya selalu bermimpi untuk menghentikannya<br><br>&quot;Iker casillas&quot;",youtube,,international
"What i just saw is not like a football,is like a gladiator fight 🔥🔥🔥",youtube,,international
How did De Jong not get sent off for that. Studs up into the CHEST of an oppenent. Call me soft but come on. Reminds me of when Pepe elbowed someone in the neck and only got booked.,youtube,,international
"God, i love Iker Casillas",youtube,,international
Messy the living god of worldly people,youtube,,international
Messi wajib main di wolrd cup 2026 duet sama eceveri,youtube,,international
Lol the Netherlands make Ramos look like a saint,youtube,,international
Nigel straight RED cmon now! There was so many rash tackles in only the first half. Everyone talks about that casillaa save but steklenburg made so many important saves!,youtube,,international
"<a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=8m04s"">8:04</a>",youtube,,international
That save Casillas...,youtube,,international
"Amazing lineups for both of these teams, that Spain team has to be one of the best international teams of all time.",youtube,,international
2022 World Cup is the best worldcup ever  also the most expensive stadium built ever,youtube,,international
"ok where is Puyol at <a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=9m44s"">9:44</a>? i can&#39;t see him.",youtube,,international
"<a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=1m03s"">1:03</a>-Kick off at Soccer City<br><a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=8m21s"">8:21</a> -goal by Iniesta 🇪🇸<br><a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=9m43s"">9:43</a>-Spain Write the new name in Trophy 🏆",youtube,,international
What the name of commentator????<br>Please answer,youtube,,international
"Arjen Robben deserved more Guard of honor,he was a great player in that competition",youtube,,international
The Netherlands time will come.,youtube,,international
I WOULD BE SHAME TO BE DUTCH,youtube,,international
"El árbitro, un maldito inútil de M13RDA.<br>holanda debería haber acabado el partido con 7 jugadores. Que selección más GUARRA.<br>The referee a damn useless M13RDA. The Netherlands should have finished the game with 7 players. What a dirty selection.",youtube,,international
Best final second only to 2022,youtube,,international
Frist final  my life,youtube,,international
"The goal was offside from Iniesta. We needed VAR back then. Netherland should have scored those clean chances, especially Robben.",youtube,,international
"This will always be my favorite final. 2022 was great, but this one was decided on the field, by a great goal, in the run of play.",youtube,,international
This Spanish team is one and  may be only team whose most of the players I knew by name.....,youtube,,international
What a final spain world champion  and now argentina,youtube,,international
…,youtube,,international
2010 world cup final after 2022 world cup final: finally someone who can beat me,youtube,,international
2010 netherland final game is gone due to elia 17 weakness....elia most follow inesta man to man...he took it easily ....so inesta was free to make goal....players should not be careless in such do&amp; die situation ...careless in field makes great loss of victory☹️☹️,youtube,,international
"Why spain fall after puyol&#39;s departure 🙏  <a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=6m07s"">6:07</a>",youtube,,international
Overall a boring match with just tackles and fouls,youtube,,international
Love victor Valdez but Casillas was a beast,youtube,,international
Hopefully the most yellow cards given in a world cup final 😂,youtube,,international
Spanish players were masters of falling onto the ground intentionally and Referee had given red and yellow card to poor Dutch players.a clear corner should have been given to Dutch before Spain continued play quickly.,youtube,,international
"Spanish team in 2010 they have dream, miracles, luckiest so many than other teams in worldcup 2010 that they deserves be the champion.",youtube,,international
Wow,youtube,,international
"ВЕЛИЧИЕ,ВЕЛИКИЙ КАСИЛЬЯС!!!!",youtube,,international
"I watched this finals throughout the night. What a match it was and I was supporting Spain. Still remember how I was happy When  they won the match.  They deserved it. Cassilas.. Iniesta.. surgio Ramos.. villa..❤️  cassilas has done a great job as the captain as well as the goal keeper. The best fifa world cup ever.. The atmosphere there in South Africa.. Theme songs of it &#39; Wavin&#39; flag&#39; , Wakka Wakk...unforgettable ❤️",youtube,,international
"Seen casillas and puyol work together, it&#39;s amazing",youtube,,international
The unforgettable world-cup finals that many era gonna miss  .The Spanish team 2008-2012 was-unbeatable .🔥🔥🔥🔥❤️❤️,youtube,,international
"What a shit game man. The world cup is a joke. You can&#39;t expect the players come together and train for a month and then play good football. There is 0 chemistry, and individual levels seem very low as well. Although I would have expected more from spain as they were basically barcelona, one of the best 5 teams in history",youtube,,international
"One of the best Worldcup finals ever, if the ref had given the handsball panalty that The Netherlands deserved. And what happend to the little girl btw that made that special song for us ( Heeeeey puta ) never seen her again. 😂😂",youtube,,international
Not so funny for the degos four years later😄,youtube,,international
watching this the day before world cup 2022 begins,youtube,,international
Lâ,youtube,,international
prime iniesta holy shit,youtube,,international
Essa final foi de espanha e quem,youtube,,international
"Ok but the miss at <a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=4m44s"">4:44</a> was my epic. Spain truly deserved this.",youtube,,international
The Spain line up is unbelievable.,youtube,,international
Cassilass gets all the credit GOAT🥵,youtube,,international
২০২২ সালের বিশ্বকাপ স্পেনের হাতে দেখতে চাই😍😍🥰,youtube,,international
gar gar ishi mar ineista dar timir,youtube,,international
Todo el mundo anglo-americano y hebreo odia á españoles recordando tiempos pasados peligrosos. ☻ ¡Los cuales pueden volverse!,youtube,,international
"Who else miss Paul the Octopus 🐙 😢, who predicted all correctly.  Even the final.",youtube,,international
Viva España!!!!!!!!!!!!!,youtube,,international
Its really tough to be a Netherland fan 💔,youtube,,international
When Barca and Madrid be one,youtube,,international
"Goal should have never been counted, the Dutch should have have a clear corner before Spain continued play quickly. and everyone saw and knows it. Howard webb had a stinker of a final, considering he should’ve also sent of de jong for that kungfu thing on xabi Alonso.",youtube,,international
"Music is damn Good at <a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=0m07s"">0:07</a>",youtube,,international
Spain is Almost like Early Barcelona‼️💀,youtube,,international
Wow mantap Spanyol,youtube,,international
Spain only won this match for ikar cassias,youtube,,international
So many yellow card.. Was so hype ...Dnt even knew when it was played in live🤣🤣🤣,youtube,,international
"I miss &#39;&#39;old&#39;&#39; football. Back when everything was simple. Nowadays the only thing players care about is the size on their paycheck, and who can get the most freekicks and penalties. This new decades football is a disgrace.",youtube,,international
Highest yellow card,youtube,,international
Xavi Iniesta Casillas Villa Fabregas Torres Puyol Busquets Xabi Alonso Ramos<br><br><br>Robben Sneijder Van Persie Stekelenburg Heitinga Kuyt,youtube,,international
When I saw this world Cup i only 8 years old ......now IAM 21 year&#39;s still i miss this world Cup,youtube,,international
"<a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=8m04s"">8:04</a> goosebumps",youtube,,international
"I was in class for a midterm review that was mandatory.  Class was 6 hours long. I told my teacher during our lunch break that in the history of the WC, this was Spain first in 80 years and I wasn&#39;t missing the ending.  I arrived in the 78th minute.<br><br>That year gave birth to my niece who was an infant during the time.   That autumn I saw my family back in Spain.  Was able to say good bye to my abuelo as he passed just before Xmas.  I&#39;m glad he was able to live long enough to witness it.",youtube,,international
If defender has university than PIQUE PUYOL RAMOS are dean of university,youtube,,international
Your highlights suck. Why in such a hurry jesus.,youtube,,international
The way puyol was defending. Like a crazy bull,youtube,,international
Sunday 11th July 2010,youtube,,international
That John Heitinga second yellow was way too harsh. The replay even shows he barley touched Andrés Iniesta on his shoulder.,youtube,,international
"<a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=2m55s"">2:55</a> how the fvck is that become a yellow card",youtube,,international
"Torres, villa, Xavi, Alonso, Puyol, fabrigas,. Iniesta, Casillas, pique, Ramos, capdevilla, busquets etc....<br>What a squad.. <br>Dream team for ever 🥰",youtube,,international
Still kinda pissed Argentina couldn’t win in 2014 and cement Messi as the goat and that my team the Dutch couldn’t pull this out,youtube,,international
This the second best World Cup final ever behind Argentina and Germany 2014,youtube,,international
"clash of the butchers. If this game is played these days, there would be at least 5 red cards",youtube,,international
Iniesta is a diver,youtube,,international
SPAIN 🇪🇸🇪🇸🇪🇸,youtube,,international
Pijn,youtube,,international
BARCELONA’S WORLD CUP WIN,youtube,,international
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,youtube,,international
The netherlands deserve atleast 1 wc . I feel for them 😓,youtube,,international
Unforgettable memories of football match,youtube,,international
Memories of 2010.....I was in class 9,youtube,,international
😭😭😭😭😭😭🇳🇱🇳🇱🇳🇱🇳🇱🇳🇱,youtube,,international
Year 2008<br>Barcelona: we will aim to have a hatrick of Champions League<br>Inter : Nope we will stop u in 2010<br> <br>Year 2010<br>Barcelona : There is a change in plan. Let&#39;s win 2010 world cup.,youtube,,international
anybody know the name of the song played during trophy celebration?,youtube,,international
THIS IS IT,youtube,,international
My favourite football team FRANCE,youtube,,international
Unpopular opinion. Netherlands 🇳🇱 deserved this more than Spain 🇪🇸 until the final. Netherlands 🇳🇱 perhaps is the greatest team to never win a World Cup. But they didn’t play their total football in this final. I was happy for Spain 🇪🇸 especially for Casillas. Spain played amazing for 2 years and win a World Cup.,youtube,,international
"<a href=""https://www.youtube.com/watch?v=ui1U9CrPCSw&amp;t=4m44s"">4:44</a> That save is my favorite save EVER. One of the best attackers ever against one of the best goalkeepers ever: one on one, World Cup final, and he pulls THAT out of the hat.<br><br>Simply magnificent.",youtube,,international
The best ever world cup finals,youtube,,international
The vibe from this game highlights  AWESOME 🥺,youtube,,international
Spain : 5 yellow cards <br>Netherlands : 9 yellow cards + 1 red card .,youtube,,international
The main moment goal scoring was full cut 🤣🤣🤣🤣,youtube,,international
yes and ecuador too!,youtube,,international
Three lion 🐆🐆🐆🐆,youtube,,international
It was like me playing fifa!!!,youtube,,international
Am from iran but i bun i glasgow,youtube,,international
I actually can’t believe that this was a year ago now,youtube,,international
Un año del Inglaterra 6-2 Irán,youtube,,international
One year ago...,youtube,,international
One year ago😢,youtube,,international
Boo england,youtube,,international
Hi,youtube,,international
این بازی در بدترین شرایط سیاسی و اقتصادی ایران اتفاق افتاد وقتی جوان های ایرانی توی خیابون کشته میشدن   تلخ تر از  شکست تیم ایران  صدای شلیک های  توی کوچه و خیابون بود,youtube,,international
2026 kiper jangan pickford,youtube,,international
So no one’s gonna mention the commentary box mistaking Callum Wilson for rashford and calling his assist to Foden an All Manchester link up,youtube,,international
The moment england fans thought it was coming home 😂,youtube,,international
❤❤❤,youtube,,international
Please Reply me The Name of This Commentator,youtube,,international
Love Inglaterra  forme Maroce 🇲🇦 💖🏴󠁧󠁢󠁥󠁮󠁧󠁿,youtube,,international
saka is on fire,youtube,,international
What a time,youtube,,international
Iran was not even a challenge,youtube,,international
"I remember watching this at school in Year 11 in the hall, and all of us boys shouted and cheered when England scored!",youtube,,international
Hosseini is first play no problem iran ❤,youtube,,international
Только Пикфорд не забил в ворота Ирана в этом матче...,youtube,,international
Fez,youtube,,international
The end of golden era.,youtube,,international
Hello😊,youtube,,international
England 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿  ⚽️ 👏,youtube,,international
Why do I see Qatar fans at every match,youtube,,international
Congratulations jude🎉,youtube,,international
"Before the second goal Maguire uses number 15&#39;s shoulders to climb on top of him to head the ball down, look at it @<a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=0m23s"">0:23</a> 
<br>this is foul in sunday league how is it not a foul here! my word!",youtube,,international
Iran goal keeper Sedkalagh kalaghi should seriously consider retirement,youtube,,international
Great victory for England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 <br>England beat Iran in a bad way ❤,youtube,,international
can someone tell me the name of commentator,youtube,,international
Iran Lost it&#39;s Best Goalkeeper in Iran Wales Game,youtube,,international
I think dat England have a chance to win the World cup 😊,youtube,,international
Is that all?,youtube,,international
6🏴󠁧󠁢󠁥󠁮󠁧󠁿x🇮🇷2,youtube,,international
🇮🇷2-6🏴󠁧󠁢󠁥󠁮󠁧󠁿,youtube,,international
Let&#39;s Go Brazil 👑 ❤️ 🇧🇷,youtube,,international
England 🎉,youtube,,international
Greece  is not a World Cup country,youtube,,international
Did you see the England legend David Beckham?😶,youtube,,international
I have been thinking why England has been all the time above iran,youtube,,international
I can&#39;t believe kane didn&#39;t score in this big match,youtube,,international
"FIFA World Cup 2022 Qatar 🇶🇦<br>Group B<br>🏴󠁧󠁢󠁥󠁮󠁧󠁿 England 6:2 IR Iran 🇮🇷<br>Goal: <br>Jude Bellingham 35’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=0m08s"">0:08</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Bukayo Saka 43’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=0m21s"">0:21</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Raheem Sterling 45+1’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=0m35s"">0:35</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Bukayo Saka 62’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=0m48s"">0:48</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Mehdi Taremi 65’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=1m03s"">1:03</a> 🇮🇷<br>Marcus Rashford 71’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=1m20s"">1:20</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Jack Grealish 90’ <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=1m35s"">1:35</a> 🏴󠁧󠁢󠁥󠁮󠁧󠁿<br>Mehdi Taremi 90+13’ (PK) <a href=""https://www.youtube.com/watch?v=atn7ttoJgqg&amp;t=1m49s"">1:49</a> 🇮🇷",youtube,,international
Kane,youtube,,international
congrattulations to tunisia morocco usa <br>japan saudi arabia england winning one of the top nations in the world,youtube,,international
footbal has changed r,youtube,,international
Maguire needs some respect 🐐,youtube,,international
I was watching this game when I was in school well should I sat the whole claas 😆,youtube,,international
I saw myself in this video 😂,youtube,,international
IRAN CHEMPIONI🥰🥰🥰🥰🇮🇷,youtube,,international
Are you in 🇯🇵,youtube,,international
anglia 6-2-re legyőzte iránt,youtube,,international
What a dip by saka,youtube,,international
Great game iran 🇲🇦❤🇮🇷,youtube,,international
Practice game for England 😂,youtube,,international
333333eeeeeee~eeeee~ xbxkd,youtube,,international
🇲🇦,youtube,,international
even Tareimi scored the penalty and kane couldnt against france 😂,youtube,,international
Fi network LINK CHAMPIONS,youtube,,international
This was a warm up game for England 🤠<br>Iran is too weak <br>They were no match for England team,youtube,,international
🥺,youtube,,international
Really satisfying one. I’m very much glad that England brutally destroyed Iranian arrogancy in football 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇸🇦❤️❤️❤️,youtube,,international
"England&#39;s 6th goal was actually assisted by Callum Wilson not Marcus Rashford, you would think that a commentator for FIFA could leave the casual racism at home for a minute.",youtube,,international
گه تو کیروش,youtube,,international
gg 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,youtube,,international
Congratulations England from Greece!! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇷,youtube,,international
Seriously i wonder if the Iranians were paid to lose or what. Iranians usually can play football as well as Morocco.,youtube,,international
Go England,youtube,,international
Congratulations to England from Russia.,youtube,,international
"it&#39;s coming homeee, it&#39;s coming hoooome, it&#39;s coming home, it&#39;s coming home 🇫🇷 🇫🇷 🇫🇷",youtube,,international
IRAN SO FUNNY  HAHAHA,youtube,,international
これだけの歴史的な大敗には正直心を折られた。この大会でもアジア勢はボコボコにされるのかな…と。後は、序盤の接触でＧＫが交代したこともあって、アディショナルタイムがあり得ないほど長く、イランの二得点目はＷ杯史上最も遅い得点になったというのは少し面白かった。,youtube,,international
Saka’s goal reminded me of Messi vs Bayern Leverkusen,youtube,,international
Iran👏🏻👏🏻 💜💜💜🌍💌💫,youtube,,international
Africa doing well in European teams,youtube,,international
😭,youtube,,international
England literally thrashed Iran 🙄👍,youtube,,international
WOW,youtube,,international
1 second to much😂,youtube,,international
where is DIEwan province of China; Chinese taipei?,youtube,,international
Nice match like every pitch on fifa world cup 2022 Qatar 29/11/2022 🕔🕟🕓⚽⚽⚽🧲♌♌♌♌♌♌♌☑✅☑✅,youtube,,international
♥♥♥♥♥♥,youtube,,international
"Hey Iran the only way you can kick America out, is if you beat us in a game of soccer! LOL!!! Congratulations England 🏴󠁧󠁢󠁥󠁮󠁧󠁿",youtube,,international
Do people know they&#39;re being propagandized,youtube,,international
Engeland was Amazing,youtube,,international
Iran&#39;s 2nd goalkeeper played without hands <br>concedes on every shot on target,youtube,,international
don&#39;t mind iran,youtube,,international
"i dont care about your lgbtq woke knee performance. But if you people had exercised a little bit of decency,  common sense, and do stand for a little bit of goodness, you would have realized that you needed to hold back on the goals rather than ensuring that your opponents die when they get back home. It is plain that your time on the spotlight is greater than any moral ground you shamelessly spout to possess. Your opponents were the true warriors for gender inclusivity.",youtube,,international
That is what Islam does to a team . DEATH TO ISLAM .,youtube,,international
go iran go,youtube,,international
Finally someone is man enough to put YouTube highlights in English.,youtube,,international
GG,youtube,,international
"world cup this year, some of you are eating soup, some of you are eating salt",youtube,,international
This as a practice match for England.,youtube,,international
"They are not English, they are African.",youtube,,international
"Mentioned to Iranian fans, Don&#39;t Bringing out your internal problem to the Football ⚽",youtube,,international
High scoring match England defeat Iran 6-2 it&#39;s a Big victory for England 👍,youtube,,international
Soccer you mean Football is played with both hands and feet and a different shaped ball don&#39;t confuse kids and foreigner&#39;s and salad dressing is called dressing not SAUCE and Quiche is not an omelette Quiche has a crust!!!,youtube,,international
Amazing I love u MOROCCO 🇲🇦🎉🎉❤️❤️❤️❤️❤️,youtube,,international
Last kick was just trolling.,youtube,,international
Hakimiii❤,youtube,,international
"<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=0m37s"">0:37</a> una de las mejores atajadas del mundial",youtube,,international
Its the Hakimi dance for me.,youtube,,international
"Proof that blood is more important than where you were born and raised, and why multiculturalism is a massive failure. <br><br>Hakimi, born and raised in Spain, scores against Spain to knock them out, and looks absolutely over the moon.",youtube,,international
Till now As a Moroccan i will never forget this night,youtube,,international
Лтлэопэлтэщьи🎉,youtube,,international
Maroc 3 Espagne 0 huitième de finale,youtube,,international
🎉,youtube,,international
Congrats Marocco🎉,youtube,,international
A fost un meci bun păcat că nu am fost acolo și l-am văzut la TVR,youtube,,international
Mi morocco ❤🇲🇦🇲🇦🇲🇦🇲🇦,youtube,,international
The best goal kipper in the word cup is yassine bobo,youtube,,international
Morocco 3-0 Spain penalty shooting Hakimi funny,youtube,,international
España 😢,youtube,,international
The best ever Morocco,youtube,,international
Congratulations  Morocco from italy,youtube,,international
Marokok Membunuh Banteng,youtube,,international
"Those that got sent here from grin,stop,is an f*in scam,they are gonna take your money",youtube,,international
"<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=0m30s"">0:30</a> Spain are Getting Closer 🎶🎶🎶",youtube,,international
🇲🇦,youtube,,international
"Hace un año, Marruecos eliminó a España y clasificó a cuartos por primera vez en su historia.",youtube,,international
لدي ملاحظة على المشاهدات والتعليقات في فيديوهات كأس العالم قطر فهي ضعيفة مقارنة مع 2014 و 2018 بالخصوص ما السبب وراء ذلك لمن يعرف الجواب!؟,youtube,,international
اليوم الدكرى السنوية الاولى لهاد الملحمة العظيمة 💙💙💙💙,youtube,,international
One year ago today 😢😢<br>6/12/2023 🇲🇦 vs 🇪🇸,youtube,,international
Mi febarit tim morocco mi from Bangladesh 🇧🇩🇧🇩,youtube,,international
Fifa World cup 2026 Morocco Saudi Arabia Norway Portugal Isreal Usa Denmark Sweden,youtube,,international
Fifa World cup 2026 Morocco Saudi Arabia Norway Portugal Isreal Usa,youtube,,international
🇲🇦❤️,youtube,,international
We all here 1 year latrr,youtube,,international
Spain outplayed motrofo but can’t score 😂,youtube,,international
Morocco 💪💪💪,youtube,,international
panenka,youtube,,international
España Malísimos para cobrar penales,youtube,,international
i love bounou,youtube,,international
"Por cierto no se por que esta España 2022, me recordo a la Argentina del 2014, con oportunidades claras y erradas, y puedo decir qué, España pudo pasar a cuartos si no fuera por las oportunidades erradas y clarisimas, en fin.",youtube,,international
"Partidazo, de los mejores partidos para mí del mundial de Qatar 2022.",youtube,,international
"Morocco&#39;s Achraf Hakimi was born in Madrid, Spain and the panenka that he did was awsome following his iconic penguin dance.",youtube,,international
"As a morrocan, i am so proud of my nation and when i tell everyone im morrocan they just bring the world cup",youtube,,international
its so satsfyning to see the goals from Morcco if you are a Moroccan and i am 💕,youtube,,international
IM MORROCAN,youtube,,international
"<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=0m04s"">0:04</a> amazing",youtube,,international
I love Spain,youtube,,international
This is my everyday Morning Coffee 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦☕☕☕ Allah alwatan Almalik,youtube,,international
Commentator name?,youtube,,international
"<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=1m44s"">1:44</a> noooooooooooooooo😭😭😭😭",youtube,,international
"Its so nice to see tunisians and algerians in the stadium, just shows you how much north africa is united",youtube,,international
noooooooooooooooooooooooooooo! esp,youtube,,international
Pray for 🇲🇦  🙏  from . korea 🇰🇷,youtube,,international
فخر كل مغربي,youtube,,international
I&#39;m so proud 🫶 عاش المغرب,youtube,,international
european are not immortal like before,youtube,,international
ramos taught hakimi that,youtube,,international
I don&#39;t think it would be an upset for a team like Morocco to beat Spain. They fought very bravely.,youtube,,international
Morocco 🇲🇦💪,youtube,,international
naw my bro hakimi is too cold,youtube,,international
🇲🇦 Vs 🇪🇸<br>0(3).   0(0),youtube,,international
Bono is a great goalkeeper,youtube,,international
hahahaha ...Calculation failed !,youtube,,international
Morocco wonderful fans ❤. They are great nown🎉.,youtube,,international
Spain: We practied 1000 penalties and we missed three<br>Morocco: My African Power get us through,youtube,,international
"So fantastic, go go morroco",youtube,,international
One day African team will win the World Cup,youtube,,international
🇧🇷🤝🏽🇲🇦❤,youtube,,international
"I am as a japanese,both japanese  and  spanish players cannot shot on a target in penalty.Have to practice too much.",youtube,,international
Still can&#39;t believe Spain actually won the PKs in the Nations League.,youtube,,international
The second conquest of Iberian Peninsula,youtube,,international
I.me.for soccer practice today.romania.and.qatar.crush.i shut.⚽.soccer.qatar.FIFA.23.the.games.goal.romania.goal.4-3.qatar.same,youtube,,international
"Bono, Best GK of that World Cup",youtube,,international
"jajjaa me quede dormiedo en ese partido y cuando vi los penales pense que iba ganar españa entonces cerre los ojos y oir el narrador y yo pense que el volumen no estaba poruque habia ganado marrucos <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>😂",youtube,,international
great smile of Bono !!,youtube,,international
Bounou&#39;s smile❤,youtube,,international
Parabéns marroco,youtube,,international
That pen ❤,youtube,,international
Cold moment from Hakimi for finishing the shootout with a decent panenka,youtube,,international
❤❤❤ Morocco 🇲🇦,youtube,,international
"@<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=1m41s"">1:41</a> that smile from Bono was cold. What a beast!",youtube,,international
I cant get enough of this. My Country ❤❤❤,youtube,,international
I am still rejoicing this extragavanza Victory and Lovable smile of Hakimi after beating champion of 2010 WC,youtube,,international
🇲🇦 go marocco,youtube,,international
I feel sad that morocco didnt win 3th place they deserved it,youtube,,international
spain get new penaltie takes,youtube,,international
What a world cup it was!! Enjoyed every moment of it and bono was amazing here!!,youtube,,international
نفعلها مرة أخرى إن شاء الله  في المونديال القادم,youtube,,international
Hala cuma 1bukan 10 kayak messi atau ronaldo,youtube,,international
Hakimi tidak bisa nendang penalti sedunia,youtube,,international
لا تدع هاذا الفيديو ينسيك في هدف يوسف بلايلي الساحق الماحق المتلاحق في شباك الموغريب فالدقيقة 102  ، ولا تدعه ينسيك بالعاهرات الزانيات من مملكة بوسبير,youtube,,international
Oh D Mo arenaA,youtube,,international
00❤🇲🇦🦁🇧🇭🏆🇪🇦🚍✈,youtube,,international
كما قال الرجراجي يوم كنا لا نثق في قدرتاه قال غضرب بوطو وغتخرج 😂😂❤,youtube,,international
Hakimi celebration is priceless,youtube,,international
Fake 👆,youtube,,international
"Its a drama for spanish but for moroccan no, fifa habe to change the title of the video...",youtube,,international
كنتفكر ديما الكورة اضرب فالپوطو و اتخرج 😂😂😂🧿,youtube,,international
Increíble que España no metió ni un gol,youtube,,international
Why drama?,youtube,,international
فشنث فاشف,youtube,,international
"<a href=""https://www.youtube.com/watch?v=NBDAna_qxY8&amp;t=1m45s"">1:45</a>",youtube,,international
spain without ramos:,youtube,,international
"Enjoy the full FIFA World Cup archive for FREE on FIFA+ 👉 <a href=""https://fifa.fans/3cm7uwn"">https://fifa.fans/3cm7uwn</a>",youtube,,international
I am German..l come here to watch hopeless faces..,youtube,,international
“coup de gras” is a fun twist on the French expression coup de grâce,youtube,,international
E com a camisa do meu mengao. Nao tinha como perder.,youtube,,international
"And let&#39;s not forget that in the 3rd place match, they had every reason to prove to the Brazilian public that the loss to Germany was a fluke, but they crapped the bed again against Holland 3-0.",youtube,,international
"I genuinely think every Brazilian player on the pitch should have been disallowed by the Brazilian Federation from playing for the national team ever again. Brazil would have been in the wilderness for a little while, they might have even failed to qualify for Russia 2018, but their astonishing talent would eventually have caught up, and without the stain of this embarrassment. David Luiz was utterly useless in this match. &quot;Hey Luiz, you wanna mark that Mueller guy over there?&quot; &quot;Nah, bro, he&#39;s only got 9 WC goals so far... OK, now it&#39;s 10&quot;",youtube,,international
Sami khedira such an underrated player..brilliant for germany n real madrid,youtube,,international
10 years later i don’t want this to be forgotten,youtube,,international
I visit here once in a while for culture.,youtube,,international
7-1 even though they didn&#39;t even try in second half <br>It would&#39;ve been in 10s if Germany had decided it was Humiliation time,youtube,,international
"To this day Brazilian football hasn’t recovered, crashing out of every major tournament they’ve played in. I have a feeling Brazil aren’t going to win anything for a long long time",youtube,,international
"<a href=""https://www.youtube.com/watch?v=aE4BdIP6bvc&amp;t=11m13s"">11:13</a>",youtube,,international
"Imagine being a parent, struggling to make ends meet for you, your wife, and your 3 children, and the World Cup semifinals comes around. You know Brazil’s culture is deeply DEEPLY rooted in Soccer, and you justify spending $3,000 on family tickets. Then, Brazil loses it in the first 30 minutes. You think about how you’ve spent almost 2 hours trying to find your seats, while you look over to your son, who’s in tears (<a href=""https://www.youtube.com/watch?v=aE4BdIP6bvc&amp;t=5m23s"">5:23</a>). Man, you must feel so insecure right now😂",youtube,,international
yeah it&#39;s slightly embarrassing but around this time the german team catastrophically stacked,youtube,,international
I saw this in xvideos,youtube,,international
